TID: [2025-01-22 22:42:12,920]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-01-22 22:42:40,064]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _cors_request_handler_ was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,065]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _production_key_error_ was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,067]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : WebSocketInboundEndpoint was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,067]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : SecureWebSocketEP was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,068]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : WebhookServer was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,069]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : SecureWebhookServer was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,069]  INFO {org.apache.synapse.config.SynapseConfigurationBuilder} - Loaded Synapse configuration from the artifact repository at : ././repository/deployment/server/synapse-configs/default
TID: [] [] [2025-01-22 22:42:40,070]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : SERVER_HOST was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,070]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : SERVER_IP was added to the Synapse configuration successfully
TID: [] [] [2025-01-22 22:42:40,111]  WARN {org.apache.synapse.commons.util.MiscellaneousUtil} - Error loading properties from file at system defined location: /home/chostim/wso2/wso2am-4.4.0/repository/conf/sequence-observers.xml
TID: [] [] [2025-01-22 22:42:40,130]  INFO {org.apache.synapse.Axis2SynapseController} - Loading mediator extensions...
TID: [] [] [2025-01-22 22:42:40,195]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: echo {super-tenant}
TID: [] [] [2025-01-22 22:42:40,218]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: Version {super-tenant}
TID: [] [] [2025-01-22 22:42:40,223]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :EmailPublisher.xml, Stream validation exception : Stream id_gov_notify_stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,224]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :HTTP-recommendationEventPublisher.xml, Stream validation exception : Stream org.wso2.apimgt.recommendation.event.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,225]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :asyncWebhooksEventPublisher.xml, Stream validation exception : Stream org.wso2.apimgt.webhooks.request.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,226]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :asyncWebhooksEventPublisher2.xml, Stream validation exception : Stream org.wso2.apimgt.webhooks.request.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,226]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :asyncWebhooksEventPublisher_1.0.0.xml, Stream validation exception : Stream org.wso2.apimgt.webhooks.request.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,227]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :asyncWebhooksEventPublisher_1.0.0_2.xml, Stream validation exception : Stream org.wso2.apimgt.webhooks.request.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,228]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :blockingEventJMSPublisher.xml, Stream validation exception : Stream org.wso2.blocking.request.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,228]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :cacheInvalidationEventJMSPublisher.xml, Stream validation exception : Stream org.wso2.apimgt.cache.invalidation.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,229]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :globalCacheInvalidationJMSPublisher.xml, Stream validation exception : Stream cache.invalidation.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,230]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :jmsEventPublisher.xml, Stream validation exception : Stream org.wso2.throttle.globalThrottle.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,231]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :jmsEventPublisher2.xml, Stream validation exception : Stream org.wso2.throttle.globalThrottle.stream:1.0.0 does not exist
TID: [] [] [2025-01-22 22:42:40,231]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :jmsEventPublisher_1.10.0.xml, Stream validation exception : Stream org.wso2.throttle.globalThrottle.stream:1.1.0 does not exist
TID: [] [] [2025-01-22 22:42:40,232]  INFO {org.wso2.carbon.event.publisher.core.EventPublisherDeployer} - Event Publisher deployment held back and in inactive state :jmsEventPublisher_1.10.0_2.xml, Stream validation exception : Stream org.wso2.throttle.globalThrottle.stream:1.1.0 does not exist
